Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par commune; ; ; ; 
Code;Libellé;Nb de familles 2019;Part des familles avec 3 enf. ou plus de - de 25 ans 2019;Population municipale 2019
02129;Bruys;5;100;18
02130;Bucilly;60;8.3;194
02131;Bucy-le-Long;582;8.4;1861
02132;Bucy-lès-Cerny;59;8.3;194
02133;Bucy-lès-Pierrepont;119;12.4;404
02134;Buire;264;7.4;862
02135;Buironfosse;321;7;1157
02136;Burelles;40;12.5;128
02137;Bussiares;48;11.1;160
02138;Buzancy;63;8.3;200
02139;Caillouël-Crépigny;137;11;442
02140;Camelin;136;15;456
02141;La Capelle;463;8.4;1778
02142;Castres;78;6.7;253
02143;Le Catelet;48;10;185
02144;Caulaincourt;45;11.1;144
02145;Caumont;185;8.1;545
02146;Celles-lès-Condé;32;16.7;94
02148;Celles-sur-Aisne;80;6.2;255
02149;Cerizy;21;0;62
02150;Cerny-en-Laonnois;20;25;63
02151;Cerny-lès-Bucy;35;0;116
02152;Cerseuil;30;0;89
02153;Cessières-Suzy;253;5.9;764
02154;Chacrise;105;4.8;365
02155;Chaillevois;56;0;166
02156;Chalandry;76;0;257
02157;Chambry;271;5.6;836
02158;Chamouille;85;5.9;273
02159;Champs;88;11.1;295
02160;Chaourse;142;14.4;544
02162;La Chapelle-sur-Chézy;88;16.7;291
02163;Charly-sur-Marne;712;11.7;2585
02164;Le Charmel;104;14.3;325
02165;Charmes;490;9.3;1654
02166;Chartèves;110;4.5;356
02167;Chassemy;265;9.4;890
02168;Château-Thierry;4106;12.2;15254
02169;Châtillon-lès-Sons;15;0;84
02170;Châtillon-sur-Oise;35;14.3;125
02171;Chaudardes;25;20;88
02172;Chaudun;81;12.5;252
02173;Chauny;3063;12.2;11653
02174;Chavignon;253;9.8;829
02175;Chavigny;56;9.1;161
02176;Chavonne;60;16.7;206
02177;Chérêt;45;0;139
02178;Chermizy-Ailles;35;0;106
02179;Chéry-Chartreuve;116;17.4;385
02180;Chéry-lès-Pouilly;223;11.1;721
02181;Chéry-lès-Rozoy;19;0;79
02182;Chevennes;37;12.5;117
02183;Chevregny;60;8.3;185
02184;Chevresis-Monceau;84;5.5;351
02185;Chézy-en-Orxois;110;13.6;390
02186;Chézy-sur-Marne;385;5.1;1351
02187;Chierry;356;7.5;1134
02188;Chigny;54;9.1;147
02189;Chivres-en-Laonnois;108;0;350
02190;Chivres-Val;170;9.1;518
02191;Chivy-lès-Étouvelles;164;6;523
02192;Chouy;105;9.5;371
02193;Cierges;15;0;65
02194;Cilly;58;0;186
02195;Ciry-Salsogne;283;7.1;910
02196;Clacy-et-Thierret;104;8.6;311
02197;Clairfontaine;155;9.7;535
02198;Clamecy;65;7.7;228
02199;Clastres;185;8.1;601
02200;Clermont-les-Fermes;30;0;106
02201;Cœuvres-et-Valsery;106;9.3;441
02203;Coincy;372;10.4;1282
02204;Coingt;15;0;65
02205;Colligis-Crandelain;73;14.3;229
02206;Colonfay;19;25;76
02207;Commenchon;60;16.7;216
02208;Concevreux;82;6.3;267
02209;Condé-en-Brie;209;8.6;708
02210;Condé-sur-Aisne;115;8.7;364
02211;Condé-sur-Suippe;94;5.8;294
02212;Condren;206;11.6;708
02213;Connigis;103;10.4;343
02214;Contescourt;20;50;61
02215;Corbeny;237;6.4;841
02216;Corcy;103;4.1;294
02217;Coucy-le-Château-Auffrique;267;7.1;992
02218;Coucy-lès-Eppes;191;13.1;628
02219;Coucy-la-Ville;56;9.1;200
02220;Coulonges-Cohan;115;17.2;436
02221;Coupru;44;22.2;152
02222;Courbes;11;0;32
02223;Courboin;95;10.5;301
02224;Courcelles-sur-Vesle;94;15.3;346
02225;Courchamps;28;0;84
02226;Courmelles;572;8.8;1863
02227;Courmont;40;0;120
02228;Courtemont-Varennes;87;6.2;339
02229;Courtrizy-et-Fussigny;24;0;71
02230;Couvrelles;50;0;186
02231;Couvron-et-Aumencourt;271;9.2;941
02232;Coyolles;60;8.3;362
02233;Cramaille;66;0;145
02234;Craonne;25;0;83
02235;Craonnelle;35;14.3;115
02236;Crécy-au-Mont;100;15;330
02237;Crécy-sur-Serre;426;9.4;1502
02238;Crépy;517;9.9;1816
02239;Crézancy;329;17.2;1244
02240;Croix-Fonsomme;66;8.3;218
02241;La Croix-sur-Ourcq;26;0;96
02242;Crouttes-sur-Marne;184;10.5;641
02243;Crouy;848;9.9;2923
02244;Crupilly;14;33.3;63
02245;Cuffies;474;12.5;1805
02246;Cugny;185;8;611
02248;Cuirieux;50;20;156
02249;Cuiry-Housse;29;16.7;100
02250;Cuiry-lès-Chaudardes;24;0;73
02251;Cuiry-lès-Iviers;5;0;27
02252;Cuissy-et-Geny;25;20;71
02253;Cuisy-en-Almont;110;4.5;358
02254;Cutry;40;12.5;129
02255;Cys-la-Commune;45;11.1;153
02256;Dagny-Lambercy;36;14.3;129
02257;Dallon;141;10.7;437
02258;Dammard;115;4.3;370
02259;Dampleux;124;3.8;392
02260;Danizy;195;13.1;650
02261;Dercy;120;8.3;391
02262;Deuillet;65;7.7;211
02263;Dhuizel;35;0;112
02264;Dizy-le-Gros;215;7;730
02265;Dohis;31;16.7;99
02266;Dolignon;14;0;46
02267;Dommiers;90;11.1;292
02268;Domptin;190;10.1;647
02269;Dorengt;45;11.1;155
02270;Douchy;50;10;164
02271;Dravegny;34;14.3;130
02272;Droizy;26;0;78
02273;Dury;68;7.7;207
02274;Ébouleau;68;7.1;195
02275;Effry;101;10;319
02276;Englancourt;38;12.5;117
02277;Épagny;100;10;342
02278;Éparcy;9;0;28
02279;Épaux-Bézu;175;8.6;553
02280;Épieds;125;8;409
02281;L'Épine-aux-Bois;80;6.2;256
02282;Eppes;128;7.7;427
02283;Erlon;85;17.6;287
02284;Erloy;26;20;102
02286;Esquéhéries;258;7.9;867
02287;Essigny-le-Grand;342;2.7;1048
02288;Essigny-le-Petit;99;15;347
02289;Essises;130;7.7;411
02290;Essômes-sur-Marne;825;9.7;2745
02291;Estrées;130;11.3;410
02292;Étampes-sur-Marne;402;9.8;1305
02293;Étaves-et-Bocquiaux;149;15.9;553
02294;Étouvelles;68;7.1;207
02295;Étréaupont;237;13.6;853
02296;Étreillers;325;10.8;1197
02297;Étrépilly;44;0;121
02298;Étreux;430;8.1;1420
02299;Évergnicourt;174;8.8;546
02302;Faverolles;100;4.9;321
02303;Fayet;224;6.8;680
02304;La Fère;680;12.5;2838
02305;Fère-en-Tardenois;821;10.1;3001
02306;La Ferté-Chevresis;155;9.7;510
02307;La Ferté-Milon;584;8.4;2060
02308;Fesmy-le-Sart;148;11.8;476
02309;Festieux;200;9;671
02310;Fieulaine;82;4.6;248
02311;Filain;37;12.5;120
02312;La Flamengrie;346;8;1100
02313;Flavigny-le-Grand-et-Beaurain;130;19.2;444
02315;Flavy-le-Martel;462;13;1669
02316;Fleury;40;12.5;128
02317;Fluquières;69;7.1;218
02318;Folembray;404;8.3;1381
02319;Fonsomme;137;10.7;490
02320;Fontaine-lès-Clercs;79;5.8;237
02321;Fontaine-lès-Vervins;255;5.9;901
02322;Fontaine-Notre-Dame;120;11.1;386
